property_id,property_name,price,location,property_type,bedrooms,batthrooms,area,source_url
1,5 Marla Brand New Modern Design Lavish House For Sale In Park View City Lahore,17500000,"Park View City, Lahore",house,4,4,5 Marla,https://www.zameen.com/Property/lahore_park_view_city_5_marla_brand_new_modern_design_lavish_house_for_sale_in_park_view_city_lahore-54546002-1466-1.html
2,5 Marla House on Installments,20000000,"Bahria Town, Lahore",house,3,2,5 Marla,https://www.zameen.com/Property/lahore_bahria_town_5_marla_house_for_sale-100002.html
3,Beautiful 16 Marla House For Sale,60000000,"Valencia, Lahore",house,5,6,16 Marla,https://www.zameen.com/Property/lahore_valencia_housing_society_beautiful_16_marla_house_for_sale-54417722-373-1.html
4,10 Marla Residential Plot For Sale,6500000,"Central Park, Lahore",plot,,,10 Marla,https://www.zameen.com/Property/lahore_central_park_10_marla_residential_plot-100004.html
5,5 Marla Double Storey House For Sale,18500000,"Johar Town, Lahore",house,4,5,5 Marla,https://www.zameen.com/Property/lahore_johar_town_5_marla_double_storey_house-100005.html
6,10 Marla Luxury House Near Park,42000000,"DHA Phase 6, Lahore",house,5,6,10 Marla,https://www.zameen.com/Property/lahore_dha_phase_6_10_marla_luxury_house-100006.html
7,1 Kanal Modern House With Basement,95000000,"DHA Phase 5, Lahore",house,6,7,1 Kanal,https://www.zameen.com/Property/lahore_dha_phase_5_1_kanal_modern_house-100007.html
8,3 Marla Affordable House For Sale,9500000,"Al Rehman Garden, Lahore",house,3,3,3 Marla,https://www.zameen.com/Property/lahore_al_rehman_garden_3_marla_house-100008.html
9,5 Marla Residential Plot At Prime Location,5500000,"LDA City, Lahore",plot,,,5 Marla,https://www.zameen.com/Property/lahore_lda_city_5_marla_residential_plot-100009.html
10,10 Marla Residential Plot For Investment,11500000,"Bahria Orchard, Lahore",plot,,,10 Marla,https://www.zameen.com/Property/lahore_bahria_orchard_10_marla_plot-100010.html
11,8 Marla Beautiful Family House,29500000,"Wapda Town, Lahore",house,5,5,8 Marla,https://www.zameen.com/Property/lahore_wapda_town_8_marla_family_house-100011.html
12,5 Marla Newly Constructed House,16500000,"Al Kabir Town, Lahore",house,3,4,5 Marla,https://www.zameen.com/Property/lahore_al_kabir_town_5_marla_new_house-100012.html
13,2 Bedroom Luxury Apartment,12500000,"Gulberg III, Lahore",apartment,2,2,1100 Sq Ft,https://www.zameen.com/Property/lahore_gulberg_iii_2_bed_luxury_apartment-100013.html
14,3 Bedroom Family Apartment For Sale,18500000,"Askari 11, Lahore",apartment,3,3,1800 Sq Ft,https://www.zameen.com/Property/lahore_askari_11_3_bed_family_apartment-100014.html
15,1 Bedroom Studio Apartment,7500000,"Bahria Town, Lahore",apartment,1,1,550 Sq Ft,https://www.zameen.com/Property/lahore_bahria_town_1_bed_studio_apartment-100015.html
16,10 Marla Corner House With Garage,38500000,"Model Town, Lahore",house,5,5,10 Marla,https://www.zameen.com/Property/lahore_model_town_10_marla_corner_house-100016.html
17,7 Marla Brand New House For Sale,24500000,"Lake City, Lahore",house,4,5,7 Marla,https://www.zameen.com/Property/lahore_lake_city_7_marla_brand_new_house-100017.html
18,1 Kanal Residential Plot Near Main Boulevard,28000000,"DHA Phase 9 Prism, Lahore",plot,,,1 Kanal,https://www.zameen.com/Property/lahore_dha_phase_9_prism_1_kanal_plot-100018.html
19,5 Marla House Ideal For Small Family,14500000,"Khayaban-e-Amin, Lahore",house,3,3,5 Marla,https://www.zameen.com/Property/lahore_khayaban_e_amin_5_marla_house-100019.html
20,10 Marla Spanish Design Luxury House,45000000,"Etihad Town, Lahore",house,5,6,10 Marla,https://www.zameen.com/Property/lahore_etihad_town_10_marla_spanish_house-100020.html
